,address1,address2,address3,address,long,lat
107,2227 MCCLENDON ST,HOUSTON,77030,"2227 MCCLENDON ST, HOUSTON, TX 77030",-95.41127929999999,29.7081062
108,2522 BLUE BONNET BLVD,HOUSTON,77030,"2522 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.417478,29.70106329999999
109,2537 GOLDSMITH ST,HOUSTON,77030,"2537 GOLDSMITH ST, HOUSTON, TX 77030",-95.4181327,29.70996959999999
110,2514 WATTS ST,HOUSTON,77030,"2514 WATTS ST, HOUSTON, TX 77030",-95.4173962,29.7111726
111,2255 SHAKESPEARE ST,HOUSTON,77030,"2255 SHAKESPEARE ST, HOUSTON, TX 77030",-95.4121385,29.7140263
112,2314 DRYDEN RD,HOUSTON,77030,"2314 DRYDEN RD, HOUSTON, TX 77030",-95.4134069,29.7136588
113,2025 DRYDEN RD,HOUSTON,77030,"2025 DRYDEN RD, HOUSTON, TX 77030",-95.4056336,29.7119004
114,2415 WATTS ST,HOUSTON,77030,"2415 WATTS ST, HOUSTON, TX 77030",-95.41553449999999,29.7107749
115,2235 GOLDSMITH ST,HOUSTON,77030,"2235 GOLDSMITH ST, HOUSTON, TX 77030",-95.4115657,29.7099443
116,2430 GLEN HAVEN BLVD,HOUSTON,77030,"2430 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4156777,29.7019489
117,7510 MORNINGSIDE DR,HOUSTON,77030,"7510 MORNINGSIDE DR, HOUSTON, TX 77030",-95.41185209999999,29.6988338
118,1 BRAESWOOD CT,HOUSTON,77030,"1 BRAESWOOD CT, HOUSTON, TX 77030",-95.4134069,29.6989509
119,2434 MCCLENDON ST,HOUSTON,77030,"2434 MCCLENDON ST, HOUSTON, TX 77030",-95.41625049999999,29.7081516
120,2202 ADDISON RD,HOUSTON,77030,"2202 ADDISON RD, HOUSTON, TX 77030",-95.410277,29.7120044
121,2226 WATTS ST,HOUSTON,77030,"2226 WATTS ST, HOUSTON, TX 77030",-95.4107679,29.7112626
122,2170 DRYDEN RD,HOUSTON,77030,"2170 DRYDEN RD, HOUSTON, TX 77030",-95.40927459999999,29.7136018
123,2135 DRYDEN RD,HOUSTON,77030,"2135 DRYDEN RD, HOUSTON, TX 77030",-95.40841549999999,29.7128247
124,2322 UNDERWOOD ST,HOUSTON,77030,"2322 UNDERWOOD ST, HOUSTON, TX 77030",-95.41132019999999,29.70052489999999
125,2316 BELLEFONTAINE ST,HOUSTON,77030,"2316 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.412875,29.7040709
126,2338 UNDERWOOD ST,HOUSTON,77030,"2338 UNDERWOOD ST, HOUSTON, TX 77030",-95.4132432,29.7000855
127,2202 SOUTHGATE BLVD,HOUSTON,77030,"2202 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4102565,29.7096819
128,2524 MCCLENDON ST,HOUSTON,77030,"2524 MCCLENDON ST, HOUSTON, TX 77030",-95.41780539999999,29.7081783
129,2356 UNDERWOOD ST,HOUSTON,77030,"2356 UNDERWOOD ST, HOUSTON, TX 77030",-95.41483889999999,29.7000205
130,2151 SOUTHGATE BLVD,HOUSTON,77030,"2151 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.409786,29.7090469
131,2226 SHERIDAN ST,HOUSTON,77030,"2226 SHERIDAN ST, HOUSTON, TX 77030",-95.4106043,29.7072991
132,2227 SOUTHGATE BLVD,HOUSTON,77030,"2227 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41109519999999,29.7089935
133,2101 GLEN HAVEN BLVD,HOUSTON,77030,"2101 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4084768,29.7025132
134,2301 GLEN HAVEN BLVD,HOUSTON,77030,"2301 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4106869,29.702053
135,2519 SWIFT BLVD,HOUSTON,77030,"2519 SWIFT BLVD, HOUSTON, TX 77030",-95.4173962,29.7123456
136,2339 SOUTHGATE BLVD,HOUSTON,77030,"2339 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41430700000001,29.709246
137,2402 GOLDSMITH ST,HOUSTON,77030,"2402 GOLDSMITH ST, HOUSTON, TX 77030",-95.41502299999999,29.7104574
138,2216 SHERIDAN ST,HOUSTON,77030,"2216 SHERIDAN ST, HOUSTON, TX 77030",-95.4100315,29.7072322
139,2228 SOUTHGATE BLVD,HOUSTON,77030,"2228 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.410952,29.7096084
140,2151 ADDISON RD,HOUSTON,77030,"2151 ADDISON RD, HOUSTON, TX 77030",-95.40943829999999,29.7115198
141,2043 SOUTHGATE BLVD,HOUSTON,77030,"2043 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4062472,29.70907829999999
142,2510 MCCLENDON ST,HOUSTON,77030,"2510 MCCLENDON ST, HOUSTON, TX 77030",-95.4171507,29.7081148
143,2421 SOUTHGATE BLVD,HOUSTON,77030,"2421 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41584130000001,29.709251
144,2103 ADDISON RD,HOUSTON,77030,"2103 ADDISON RD, HOUSTON, TX 77030",-95.40772,29.7110034
